Rank,Artist Name,Song Name
2,The Weeknd,Blinding Lights
3,Ed Sheeran,Shape of You
4,Lewis Capaldi,Someone You Loved
5,The Weeknd,Starboy
6,Harry Styles,As It Was
7,Post Malone,Sunflower
8,The Neighbourhood,Sweater Weather
9,Drake,One Dance
10,The Kid LAROI,STAY
11,Imagine Dragons,Believer
12,Ed Sheeran,Perfect
13,Glass Animals,Heat Waves
14,Billie Eilish,lovely
15,Tones And I,Dance Monkey
16,The Chainsmokers,Closer
17,James Arthur,Say You Won't Let Go
18,Post Malone,rockstar
19,The Chainsmokers,Something Just Like This
20,Vance Joy,Riptide
21,Hozier,Take Me to Church
22,Harry Styles,Watermelon Sugar
23,Shawn Mendes,SeÃ±orita
24,Tom Odell,Another Love
25,Arctic Monkeys,I Wanna Be Yours
26,Coldplay,Yellow
27,OneRepublic,Counting Stars
28,Lord Huron,The Night We Met
29,Dua Lipa,Don't Start Now
30,Ed Sheeran,Photograph
31,Juice WRLD,Lucid Dreams
32,Taylor Swift,Cruel Summer
33,Macklemore,Can't Hold Us
34,Travis Scott,goosebumps
35,Post Malone,Circles
36,Queen,Bohemian Rhapsody
37,Drake,God's Plan
38,The Weeknd,Die For You
39,Ed Sheeran,Thinking out Loud
40,Justin Bieber,Love Yourself
41,Lady Gaga,Shallow
42,Billie Eilish,bad guy
43,Coldplay,Viva La Vida
44,John Legend,All Of Me
45,Bruno Mars,Just the Way You Are
46,Imagine Dragons,Thunder
47,Avicii,Wake Me Up
48,Imagine Dragons,Demons
49,The Weeknd,The Hills
50,Twenty One Pilots,Stressed Out
51,Bruno Mars,Locked out of Heaven
52,Bruno Mars,When I Was Your Man
53,Bruno Mars,That's What I Like
54,Kendrick Lamar,HUMBLE.
55,Eminem,Without Me
56,The Police,Every Breath You Take
57,The Killers,Mr. Brightside
58,J. Cole,No Role Modelz
59,Arctic Monkeys,Do I Wanna Know?
60,Eminem,Lose Yourself
61,Passenger,Let Her Go
62,Linkin Park,In the End
63,Ariana Grande,7 rings
64,Miley Cyrus,Flowers
65,French Montana,Unforgettable
66,Olivia Rodrigo,drivers license
67,DJ Snake,Let Me Love You
68,Shawn Mendes,Treat You Better
69,SZA,Kill Bill
70,Calvin Harris,One Kiss
71,Olivia Rodrigo,good 4 u
72,Justin Bieber,Sorry
73,Billie Eilish,BIRDS OF A FEATHER
74,Marshmello,Happier
75,Shawn Mendes,There's Nothing Holdin' Me Back
76,Journey,Don't Stop Believin'
77,XXXTENTACION,SAD!
78,Nirvana,Smells Like Teen Spirit
79,XXXTENTACION,Jocelyn Flores
80,Travis Scott,SICKO MODE
81,Elton John,Cold Heart
82,Major Lazer,Lean On
83,Lil Uzi Vert,XO Tour Llif3
84,The Weeknd,Save Your Tears
85,Oasis,Wonderwall
86,Jung Kook,Seven
87,"Tyler, The Creator",See You Again
88,The Goo Goo Dolls,Iris
89,Dua Lipa,Levitating
90,Coldplay,The Scientist
91,Dua Lipa,New Rules
92,Lady Gaga,Die With A Smile
93,Queen,Don't Stop Me Now
94,Mark Ronson,Uptown Funk
95,Sam Smith,Too Good At Goodbyes
96,a-ha,Take on Me
97,Sam Smith,Stay With Me
98,Camila Cabello,Havana
99,Adele,Someone Like You
100,Kendrick Lamar,All The Stars
101,Maroon 5,Memories
102,Halsey,Without Me
103,Guns N' Roses,Sweet Child O' Mine
104,Eminem,Till I Collapse
105,Linkin Park,Numb
106,Bad Bunny,DÃKITI
107,Maroon 5,Payphone
108,Mariah Carey,All I Want for Christmas Is You
109,Arctic Monkeys,505
110,Lewis Capaldi,Before You Go
111,Charlie Puth,We Don't Talk Anymore
112,Shawn Mendes,Stitches
113,Lukas Graham,7 Years
114,Alan Walker,Faded
115,Lil Nas X,INDUSTRY BABY
116,Sam Smith,I'm Not The Only One
117,Mike Posner,I Took A Pill In Ibiza
118,Roddy Ricch,The Box
119,Billie Eilish,when the party's over
120,Sabrina Carpenter,Espresso
121,Post Malone,Congratulations
122,Queen,Another One Bites The Dust
123,Eminem,The Real Slim Shady
124,Foster The People,Pumped Up Kicks
125,TOTO,Africa
126,Michael Jackson,Billie Jean
127,Manuel Turizo,La Bachata
128,Adele,Easy On Me
129,Jason Mraz,I'm Yours
130,Wiz Khalifa,See You Again
131,One Direction,Night Changes
132,XXXTENTACION,Moonlight
133,Radiohead,Creep
134,Adele,Rolling in the Deep
135,The Chainsmokers,Don't Let Me Down
136,Doja Cat,Kiss Me More
137,Post Malone,Better Now
138,The Weeknd,Call Out My Name
139,Eminem,Mockingbird
140,Imagine Dragons,Radioactive
141,Avicii,The Nights
142,Taylor Swift,Blank Space
143,Gotye,Somebody That I Used To Know
144,Coolio,Gangsta's Paradise
145,SAINt JHN,Roses (Imanbek Remix)
146,David Guetta,I'm Good (Blue)
147,BTS,Dynamite
148,Lil Nas X,MONTERO (Call Me By Your Name)
149,Maroon 5,Sugar
150,Fleetwood Mac,Dreams
151,24kGoldn,Mood
152,WALK THE MOON,Shut Up and Dance
153,Bad Bunny,Me Porto Bonito
154,Tears For Fears,Everybody Wants To Rule The World
155,Benson Boone,Beautiful Things
156,Calvin Harris,We Found Love
157,J Balvin,LA CANCIÃN
158,Ariana Grande,"thank u, next"
159,Arctic Monkeys,Why'd You Only Call Me When You're High?
160,Maroon 5,Maps
161,Charlie Puth,Attention
162,Lauv,I Like Me Better
163,Shakira,Hips Don't Lie
164,Danny Ocean,Me RehÃºso
165,Conan Gray,Heather
166,Travis Scott,HIGHEST IN THE ROOM
167,Lucenzo,Danza Kuduro
168,Twenty One Pilots,Heathens
169,Ed Sheeran,I Don't Care
170,Alec Benjamin,Let Me Down Slowly
171,Sia,Chandelier
172,Calvin Harris,This Is What You Came For
173,Creedence Clearwater Revival,Have You Ever Seen The Rain
174,Keane,Somewhere Only We Know
175,5 Seconds of Summer,Youngblood
176,Adele,Set Fire to the Rain
177,Twenty One Pilots,Ride
178,Ruth B.,Dandelions
179,OneRepublic,I Ain't Worried
180,"Earth, Wind & Fire",September
181,ZAYN,Dusk Till Dawn
182,Dean Lewis,Be Alright
183,Tame Impala,The Less I Know The Better
184,Dream Supplier,Clean Baby Sleep White Noise (Loopable)
185,Sia,Cheap Thrills
186,The Weeknd,I Feel It Coming
187,The Weeknd,Can't Feel My Face
188,benny blanco,Eastside
189,Coldplay,A Sky Full of Stars
190,Christina Perri,A Thousand Years
191,XXXTENTACION,Fuck Love
192,Ed Sheeran,Bad Habits
193,OMI,Cheerleader
194,The White Stripes,Seven Nation Army
195,AC/DC,Highway to Hell
196,Justin Bieber,Ghost
197,Luis Fonsi,Despacito
198,Juice WRLD,All Girls Are The Same
199,Olivia Rodrigo,deja vu
200,David Guetta,Titanium
201,Bon Jovi,Livin' On A Prayer
202,The Walters,I Love You So
203,Justin Timberlake,"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")"
204,Olivia Rodrigo,traitor
205,Bizarrap,"Quevedo: Bzrp Music Sessions, Vol. 52"
206,Wham!,Last Christmas
207,The Weeknd,Earned It (Fifty Shades Of Grey)
208,ZAYN,I Donât Wanna Live Forever (Fifty Shades Darker)
209,Doja Cat,Woman
210,MÃ¥neskin,Beggin'
211,Queen,Under Pressure
212,Eagles,Hotel California
213,Harry Styles,Adore You
214,Billie Eilish,everything i wanted
215,Miley Cyrus,Party In The U.S.A.
216,Ava Max,Sweet but Psycho
217,Future,Mask Off
218,Lana Del Rey,Summertime Sadness
219,Kendrick Lamar,Money Trees
220,Drake,Passionfruit
221,Rihanna,Umbrella
222,AC/DC,Back In Black
223,The Weeknd,Save Your Tears (Remix)
224,Powfu,death bed (coffee for your head)
225,Eminem,Love The Way You Lie
226,Ed Sheeran,Shivers
227,Taylor Swift,Anti-Hero
228,Train,"Hey, Soul Sister"
229,Cigarettes After Sex,Apocalypse
230,AC/DC,Thunderstruck
231,Post Malone,Wow.
232,Justin Bieber,What Do You Mean?
233,DNCE,Cake By The Ocean
234,Luis Fonsi,Despacito
235,XXXTENTACION,Everybody Dies In Their Nightmares
236,MUSIC LAB JPN,Cake By The Ocean
237,Childish Gambino,Redbone
238,Pitbull,Timber
239,Bastille,Pompeii
240,50 Cent,In Da Club
241,Offset,Ric Flair Drip
242,Marshmello,Silence
243,The Weeknd,One Of The Girls
244,The Neighbourhood,Daddy Issues
245,Rihanna,Love On The Brain
246,MAGIC!,Rude
247,Frank Ocean,Pink + White
248,Calvin Harris,Summer
249,Maroon 5,Moves Like Jagger
250,Gorillaz,Feel Good Inc.
251,Imagine Dragons,Enemy
252,Kings of Leon,Sex on Fire
253,Harry Styles,Sign of the Times
254,Sam Smith,Unholy
255,Justin Bieber,Peaches
256,Billie Eilish,ocean eyes
257,Trevor Daniel,Falling
258,Panic! At The Disco,High Hopes
259,Coldplay,Fix You
260,BeyoncÃ©,Halo
261,Tate McRae,greedy
262,Maroon 5,Girls Like You
263,Backstreet Boys,I Want It That Way
264,Ariana Grande,One Last Time
265,Taylor Swift,Lover
266,Daniel Caesar,Best Part
267,Miguel,Sure Thing
268,Post Malone,I Fall Apart
269,Cardi B,I Like It
270,Bruno Mars,Talking to the Moon
271,DaBaby,ROCKSTAR
272,Khalid,Young Dumb & Broke
273,The Script,Hall of Fame
274,Dua Lipa,IDGAF
275,XXXTENTACION,Revenge
276,Black Eyed Peas,I Gotta Feeling
277,Bad Bunny,TitÃ­ Me PreguntÃ³
278,Tate McRae,you broke me first
279,XXXTENTACION,Hope
280,Teddy Swims,Lose Control
281,Eminem,Godzilla
282,Lil Tecca,Ransom
283,Rihanna,Needed Me
284,Maroon 5,She Will Be Loved
